n_dpe,version_dpe,methode_du_dpe,categorie_erp,secteur_activite,type_energie_principale_chauffage,type_energie_n_1,type_usage_energie_n_1,conso_kwhep_m2_an,emission_ges_kgco2_m2_an,surface_utile,conso_finale_energie,conso_primaire_energie,frais_annuel_energie,annee_construction,etiquette_dpe
2357T3764818O,5,2,5,25,6,7,6,95.1,2.6,266.0,11000.0,25300.0,1824.9,2000,3
2168T0643938B,1,2,4,8,6,7,6,393.2,33.0,100.0,47522.5,80022.5,6597.0,1948,6
2244T2852353F,4,2,4,9,6,7,6,1173.6,32.7,100.0,60899.0,140067.7,8355.0,-1,7
2134T0049535C,0,6,0,7,6,7,6,461.7,12.8,100.0,6600.0,15180.0,660.0,1947,6
2175T0777367F,1,2,5,26,6,7,6,343.4,9.6,84.4,12600.0,28980.0,2500.0,1910,4
2359T2563517T,5,2,5,25,6,7,6,249.7,6.9,100.0,32565.0,74899.5,5262.9,2012,4
2266T1332007F,3,2,4,9,6,7,6,759.8,21.1,100.0,673038.5,1547988.6,195228.0,-1,7
2314T2227893K,4,2,4,9,6,7,6,926.6,25.8,100.0,283758.5,652644.6,82309.5,-1,7
2233T0710816Z,3,2,5,10,7,7,2,390.0,11.0,171.0,87036.0,200181.0,14085.0,1948,5
2395T1683411X,5,2,0,25,7,7,2,355.0,14.0,268.8,44694.5,355.5,5562.8,1989,6
2471T0064868J,5,2,4,11,6,4,6,106.8,24.2,100.0,39453.3,39453.3,4387.7,1999,2
2321T1761020A,5,2,5,25,6,7,6,41.8,1.2,132.0,2398.0,5515.4,486.3,1940,2
2105T0496528A,0,2,4,10,6,7,6,213.5,6.0,100.0,20726.0,41689.8,2000.0,1948,4
2268T1880716M,3,2,3,9,6,7,6,438.8,16.0,1309.1,274732.0,631883.6,38160.3,2010,6
2368T2234365K,5,3,0,22,7,7,2,413.0,11.0,264.0,47446.0,413.4,9539.0,1948,5
2283T1884693A,3,2,4,9,6,7,6,183.0,5.1,100.0,3500.0,8050.0,980.0,1995,4
2260T2604206S,4,3,4,9,6,7,6,377.6,10.5,100.0,7974.0,18340.2,2313.0,-1,5
2306T4224718B,5,3,5,25,7,7,2,422.6,11.8,41.5,22855.0,52566.5,5594.1,1970,6
2375T3925963D,5,2,0,25,4,4,2,212.0,27.0,510.6,78127.7,213.0,5722.8,1945,4
2122T0637417M,1,2,4,9,6,7,6,130.9,3.6,100.0,35394.0,81406.2,6162.0,1983,3
2144T0544632R,0,2,4,20,6,7,6,243.9,6.8,100.0,7450.0,17135.0,1120.0,1948,4
2213T0648878Z,3,2,5,25,6,4,6,242.9,55.1,94.4,9557.0,9557.0,854.4,1949,4
2262T0455464W,3,2,4,26,6,7,6,110.7,3.1,100.0,23829.5,54807.9,2895.0,2013,2
2187T0146792U,0,6,5,25,6,7,6,0.0,0.0,140.3,1.0,2.3,0.4,2020,1
2376T0596854N,4,2,4,9,6,7,6,121.6,3.4,100.0,75595.0,173868.5,21928.0,-1,3
2258T0028301J,2,2,4,22,6,7,6,331.1,9.2,100.0,37645.0,86583.5,5824.0,1947,4
2169T0110887D,0,6,4,7,6,7,6,0.1,0.1,100.0,0.1,0.1,0.1,1948,1
2378T0535723K,4,3,5,25,6,7,6,414.3,11.5,73.0,13113.0,30159.9,2157.3,1970,6
2375T2564233X,5,3,5,25,6,4,6,117.3,26.6,102.0,23929.7,23929.7,2661.3,1900,3
2331T1968568A,4,2,4,10,6,7,6,1207.3,33.6,100.0,267344.0,614891.2,72472.7,1999,7
2344T2546460D,5,2,0,25,1,7,2,167.0,31.0,7520.0,869884.0,167.7,90667.5,2012,3
2230T1074332G,3,2,4,9,6,7,6,58.3,1.6,100.0,3158.0,7263.4,916.0,-1,1
2178T0577481K,1,2,4,22,6,4,6,89.7,20.4,100.0,15964.9,15964.9,1949.0,1978,2
2475T0119819A,5,3,4,22,6,7,6,526.0,41.4,100.0,238228.0,387728.0,32698.0,1851,5
2342T1737466X,5,2,0,22,4,7,2,116.0,13.0,1412.0,114436.8,116.5,12521.5,1983,3
2203T0143447Y,2,2,5,26,7,7,2,6.0,1.0,56.3,393.0,900.0,42.0,1970,1
2169T0877544Y,2,2,4,22,7,7,2,80.2,2.2,100.0,328146.10000000003,754735.7,95185.3,2004,2
2242T1298286I,3,2,4,10,6,7,6,138.5,15.2,100.0,10773.9,16152.0,1320.0,-1,3
2306T3143490J,5,3,5,25,6,7,6,246.2,6.9,158.1,16920.0,38916.0,4150.0,1940,4
2337T3912045J,5,3,0,25,7,7,2,329.0,9.0,30.7,4393.0,329.3,1919.2,1945,4
2228T0995174Q,3,2,4,7,6,7,6,63.2,1.8,100.0,1572.7,3617.1,1698.5,-1,2
2374T0046639I,4,3,4,16,6,7,6,174.0,4.8,100.0,7714.0,17742.2,1420.1,-1,4
2385T2458330C,4,2,4,22,6,7,6,233.9,6.5,100.0,24161.0,55570.3,7008.0,2005,4
2322T3955300L,5,3,4,9,6,7,6,286.6,8.0,100.0,10143.5,23330.1,2942.5,-1,5
